

Method,UDT
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Recv Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
0,25.3945,0,44.769,16,8192,1,0,0,0.011648
0,24.2856,4,49.319,16,8192,1,0,0,0.011648
0,26.5765,2,29.698,16,8192,1,0,0,0.011648
0,26.2724,1,34.215,16,8192,1,0,0,0.011648
0,30.8959,0,32.087,16,8192,1,0,0,0.011648
0,25.8396,1,29.081,16,8192,1,0,0,0.011648
0,25.9815,2,44.615,16,8192,1,0,0,0.011648
0,27.9239,1,34.106,16,8192,1,0,0,0.011648
0,29.6394,1,50.712,16,8192,1,0,0,0.011648
0,28.2581,4,28.46,16,8192,1,0,0,0.011648
0,25.3997,0,39.897,16,8192,1,0,0,0.011648
0,26.1457,1,34.92,16,8192,1,0,0,0.011648
0,27.8035,0,34.798,16,8192,1,0,0,0.011648
0,24.3363,2,27.762,16,8192,1,0,0,0.011648
0,21.3731,2,41.183,16,8192,1,0,0,0.011648
0,22.4286,0,29.655,16,8192,1,0,0,0.011648
0,21.2307,11,56.287,16,8192,1,0,0,0.011648
0,27.5083,0,28.176,16,8192,1,0,0,0.011648
0,26.7131,1,74.91,16,8192,1,0,0,0.011648
0,23.3368,2,34.23,16,8192,1,0,0,0.011648
0,26.4556,1,51.267,16,8192,1,0,0,0.011648
0,20.8176,3,56.386,16,8192,1,0,0,0.011648
0,20.6521,5,62.169,16,8192,1,0,0,0.011648
0,20.8034,2,41.598,16,8192,1,0,0,0.011648
0,19.8235,5,54.015,16,8192,1,0,0,0.011648
0,20.1197,4,65.337,16,8192,1,0,0,0.011648
0,22.6251,3,47.004,16,8192,1,0,0,0.011648
0,20.3005,7,91.109,16,8192,1,0,0,0.011648
0,22.5226,2,46.559,16,8192,1,0,0,0.011648
0,24.9931,3,54.323,16,8192,1,0,0,0.011648
0,24.0582,3,37.925,16,8192,1,0,0,0.011648
0,29.6662,1,36.835,16,8192,1,0,0,0.011648
0,27.5319,3,46.907,16,8192,1,0,0,0.011648
0,23.3751,3,44.422,16,8192,1,0,0,0.011648
0,14.0294,4,438.249,16,8192,1,0,0,0.011648
0,16.3303,4,428.978,16,8192,1,0,0,0.011648
0,12.6048,5,376.331,16,8192,1,0,0,0.011648
0,17.4985,2,38.316,16,8192,1,0,0,0.011648
0,15.6977,9,277.339,16,8192,1,0,0,0.011648
0,20.095,3,35.99,16,8192,1,0,0,0.011648
0,21.6448,5,36.619,16,8192,1,0,0,0.011648
0,23.7482,3,65.681,16,8192,1,0,0,0.011648
0,18.8652,3,42.089,16,8192,1,0,0,0.011648
0,21.5685,2,50.975,16,8192,1,0,0,0.011648
0,18.6787,4,56.956,16,8192,1,0,0,0.011648
0,23.1954,1,47.917,16,8192,1,0,0,0.011648
0,26.3202,1,41.243,16,8192,1,0,0,0.011648
0,24.3592,3,55.264,16,8192,1,0,0,0.011648
0,14.4791,4,49.068,16,8192,1,0,0,0.011648
0,18.7945,7,54.999,16,8192,1,0,0,0.011648
0,18.4531,7,53.13,16,8192,1,0,0,0.011648
0,19.5254,4,39.941,16,8192,1,0,0,0.011648
0,16.2404,1,38.417,16,8192,1,0,0,0.011648
0,24.1737,5,41.543,16,8192,1,0,0,0.011648
0.0814635,12.4872,1,26.715,19,8184,1,2,0,1.456
0,0,0,26.715,19,8184,1,0,0,1.456
0,0,0,26.715,19,8184,1,0,0,1.456
0,0,0,26.715,19,8184,1,0,0,1.456
0,0,0,26.715,19,8184,1,0,0,1.456




Method,UDT
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Recv Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
0,28.7219,0,27.315,16,8192,1,0,0,0.011648
0,26.1593,0,34.683,16,8192,1,0,0,0.011648
0,25.2612,1,22.916,16,8192,1,0,0,0.011648
0,26.5462,1,48.937,16,8192,1,0,0,0.011648
0,27.4566,1,25.103,16,8192,1,0,0,0.011648
0,28.2059,2,28.653,16,8192,1,0,0,0.011648
0,27.7208,1,30.531,16,8192,1,0,0,0.011648
0,26.6912,3,39.082,16,8192,1,0,0,0.011648
0,25.4209,0,25.492,16,8192,1,0,0,0.011648
0,29.7442,0,25.692,16,8192,1,0,0,0.011648
0,25.7583,1,32.429,16,8192,1,0,0,0.011648
0,25.1748,0,37.035,16,8192,1,0,0,0.011648
0,29.3444,0,32.049,16,8192,1,0,0,0.011648
0,32.141,1,35,16,8192,1,0,0,0.011648
0,27.7878,2,37.361,16,8192,1,0,0,0.011648
0,27.3564,1,33.316,16,8192,1,0,0,0.011648
0,29.0826,2,26.119,16,8192,1,0,0,0.011648
0,28.3181,0,27.543,16,8192,1,0,0,0.011648
0,28.3,1,26.162,16,8192,1,0,0,0.011648
0,24.8353,2,33.536,16,8192,1,0,0,0.011648
0,24.6257,0,48.526,16,8192,1,0,0,0.011648
0,23.0373,2,67.691,16,8192,1,0,0,0.011648
0,23.5176,3,37.397,16,8192,1,0,0,0.011648
0,24.7707,3,40.655,16,8192,1,0,0,0.011648
0,29.5801,1,33.649,16,8192,1,0,0,0.011648
0,30.4396,1,27.523,16,8192,1,0,0,0.011648
0,26.3517,1,58.003,16,8192,1,0,0,0.011648
0,27.4007,2,25.194,16,8192,1,0,0,0.011648
0,18.4715,4,70.239,16,8192,1,0,0,0.011648
0,20.6853,4,59.066,16,8192,1,0,0,0.011648
0,24.0687,2,38.75,16,8192,1,0,0,0.011648
0,25.6903,3,32.497,16,8192,1,0,0,0.011648
0,27.1717,3,27.356,16,8192,1,0,0,0.011648
0,30.2516,1,25.438,16,8192,1,0,0,0.011648
0,25.3185,2,31.025,16,8192,1,0,0,0.011648
0,24.7251,1,52.148,16,8192,1,0,0,0.011648
0,26.6657,1,39.311,16,8192,1,0,0,0.011648
0,25.7767,2,44.519,16,8192,1,0,0,0.011648
0,26.8304,3,31.624,16,8192,1,0,0,0.011648
0,24.096,3,31.081,16,8192,1,0,0,0.011648
0,26.2048,0,52.598,16,8192,1,0,0,0.011648
0,29.3628,1,65.416,16,8192,1,0,0,0.011648
0,26.7245,1,79.764,16,8192,1,0,0,0.011648
0,19.8329,4,87.979,16,8192,1,0,0,0.011648
0,21.518,2,61.381,16,8192,1,0,0,0.011648
0,18.1977,9,392.417,16,8192,1,0,0,0.011648
0,25.8305,1,38.438,16,8192,1,0,0,0.011648
0,29.1351,1,47.081,16,8192,1,0,0,0.011648
0,25.898,2,33.538,16,8192,1,0,0,0.011648
0,28.2996,3,32.003,16,8192,1,0,0,0.011648
0,31.64,1,32.744,16,8192,1,0,0,0.011648
0,27.4728,3,38.934,16,8192,1,0,0,0.011648
0,31.4666,0,25.717,16,8192,1,0,0,0.011648
0,28.7169,0,33.125,16,8192,1,0,0,0.011648
0,30.8148,1,21.38,16,8192,1,0,0,0.011648
0,28.8938,1,31.702,16,8192,1,0,0,0.011648
0,27.9723,0,32.932,16,8192,1,0,0,0.011648
0,29.669,0,33.165,16,8192,1,0,0,0.011648
0,30.7864,1,34.487,16,8192,1,0,0,0.011648
0,28.4494,0,29.078,16,8192,1,0,0,0.011648
0,28.859,2,26.141,16,8192,1,0,0,0.011648
0,29.6886,2,40.062,16,8192,1,0,0,0.011648
0,29.4843,0,35.265,16,8192,1,0,0,0.011648
0,29.9858,0,33.247,16,8192,1,0,0,0.011648
0,31.8862,3,26.479,16,8192,1,0,0,0.011648
0,30.0255,1,24.348,16,8192,1,0,0,0.011648
0,32.2765,0,24.789,16,8192,1,0,0,0.011648
0,30.7152,2,32.88,16,8192,1,0,0,0.011648
0,26.408,12,37.863,16,8192,1,0,0,0.011648
0,27.213,2,35.333,16,8192,1,0,0,0.011648
0,29.8442,0,33.738,16,8192,1,0,0,0.011648
0,28.5833,0,29.405,16,8192,1,0,0,0.011648
0,32.3401,1,27.936,16,8192,1,0,0,0.011648
0,30.7197,1,30.61,16,8192,1,0,0,0.011648
0,29.4546,1,30.144,16,8192,1,0,0,0.011648
0,29.0055,2,37.123,16,8192,1,0,0,0.011648
0,29.1525,0,31.985,16,8192,1,0,0,0.011648
0,31.092,0,26.236,16,8192,1,0,0,0.011648
0,27.1832,1,35.394,16,8192,1,0,0,0.011648
0,30.4644,4,31.147,16,8192,1,0,0,0.011648
0,28.1361,1,37.038,16,8192,1,0,0,0.011648
0,26.3935,1,39.641,16,8192,1,0,0,0.011648
0,30.6804,0,32.489,16,8192,1,0,0,0.011648
0,25.2354,2,40.412,16,8192,1,0,0,0.011648
0,28.5882,2,27.936,16,8192,1,0,0,0.011648
0,24.6448,4,64.848,16,8192,1,0,0,0.011648
0,22.2275,1,51.566,16,8192,1,0,0,0.011648
0,22.5896,2,48.224,16,8192,1,0,0,0.011648
0,28.8189,1,42.264,16,8192,1,0,0,0.011648
0,27.3103,4,25.595,16,8192,1,0,0,0.011648
0,30.3097,0,47.782,16,8192,1,0,0,0.011648
0,28.7175,1,32.597,16,8192,1,0,0,0.011648
0,29.6557,1,26.177,16,8192,1,0,0,0.011648
0,31.3532,1,32.685,16,8192,1,0,0,0.011648
0,30.2626,3,30.238,16,8192,1,0,0,0.011648
0,25.9057,1,35.485,16,8192,1,0,0,0.011648
0,27.5986,0,40.48,16,8192,1,0,0,0.011648
0,30.2927,1,28.049,16,8192,1,0,0,0.011648
0,25.6561,2,30.282,16,8192,1,0,0,0.011648
0,27.8051,0,28.959,16,8192,1,0,0,0.011648
0,28.3596,1,26.525,16,8192,1,0,0,0.011648
0,27.9696,3,38.819,16,8192,1,0,0,0.011648
0,30.5483,1,26.849,16,8192,1,0,0,0.011648
0,31.0345,1,31.64,16,8192,1,0,0,0.011648
