SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
8.76811,444.912,1053,0,379,0
9.43119,841.545,1054,0,410,0
9.43841,1227.06,1054,0,382,0
12.9605,1355.75,1055,0,568,0
18.4821,683.609,1056,0,807,0
23.8641,718.04,1056,0,1032,0
27.7876,541.149,1058,0,1199,0
21.1083,521.261,1058,0,911,0
10.9041,469.573,1059,0,472,0
14.3427,803.874,1060,0,621,0
13.1189,882.071,1060,0,572,0
18.6726,768.267,1061,0,813,0
14.8857,719.712,1061,0,647,0
17.6373,791.355,1062,0,765,0
23.8466,579.661,1063,0,1037,0
17.4399,627.489,1064,0,752,0
25.2508,461.127,1065,0,1091,0
20.7006,418.998,1066,0,890,0
2.8506,651.687,1066,0,661,0
0,651.687,1066,0,0,0
0,651.687,1066,0,0,0
0,651.687,1066,0,0,0
0,651.687,1066,0,0,0
0,651.687,1066,0,0,0
