

Method,CTCP
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Recv Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
0,5.90239,0,1.741,2,8192,0,0,0,0.011648
0,5.31888,0,2.281,2,8192,0,0,0,0.011648
0,5.10103,0,2.432,2,8192,0,0,0,0.011648
0,4.29171,0,9.949,2,8192,0,0,0,0.011648
0,4.88847,0,2.386,2,8192,0,0,0,0.011648
0,5.28179,0,1.974,2,8192,0,0,0,0.011648
0,5.60069,0,2.563,2,8192,0,0,0,0.011648
0,5.24011,0,2.69,2,8192,0,0,0,0.011648
0,4.64292,0,1.986,2,8192,0,0,0,0.011648
0,5.76378,0,2.177,2,8192,0,0,0,0.011648
0,5.04009,0,2.267,2,8192,0,0,0,0.011648
0,5.07483,0,2.596,2,8192,0,0,0,0.011648
0,5.02942,0,2.932,2,8192,0,0,0,0.011648
0,5.06619,0,2.378,2,8192,0,0,0,0.011648
0,5.12406,0,2.432,2,8192,0,0,0,0.011648
0,4.9141,0,2.746,2,8192,0,0,0,0.011648
0,5.18207,0,2.034,2,8192,0,0,0,0.011648
0,5.66963,0,2.849,2,8192,0,0,0,0.011648
0,5.87759,0,1.942,2,8192,0,0,0,0.011648
0,5.62316,0,2.475,2,8192,0,0,0,0.011648
0,5.63221,0,2.203,2,8192,0,0,0,0.011648
0,5.20125,0,1.769,2,8192,0,0,0,0.011648
0,5.07698,0,2.173,2,8192,0,0,0,0.011648
0,4.75027,0,3.204,2,8192,0,0,0,0.011648
0,4.30764,0,2.758,2,8192,0,0,0,0.011648
0,5.14771,0,2.403,2,8192,0,0,0,0.011648
0,5.47304,0,2.269,2,8192,0,0,0,0.011648
0,5.17853,0,3.148,2,8192,0,0,0,0.011648
0,4.91383,0,3.204,2,8192,0,0,0,0.011648
0,5.44975,0,2.747,2,8192,0,0,0,0.011648
0,4.12046,0,5.477,2,8192,0,0,0,0.011648
0,5.2985,0,2.273,2,8192,0,0,0,0.011648
0,4.59924,0,3.895,2,8192,0,0,0,0.011648
0,4.84438,0,6.369,2,8192,0,0,0,0.011648
0,4.3199,0,2.15,2,8192,0,0,0,0.011648
0,5.49696,0,2.135,2,8192,0,0,0,0.011648
0,5.07234,0,2.498,2,8192,0,0,0,0.011648
0,4.86368,0,3.345,2,8192,0,0,0,0.011648
0,4.17983,0,2.411,2,8192,0,0,0,0.011648
0,4.96962,0,2.435,2,8192,0,0,0,0.011648
0,4.7859,0,2.306,2,8192,0,0,0,0.011648
0,4.92467,0,3.746,2,8192,0,0,0,0.011648
0,4.95999,0,2.141,2,8192,0,0,0,0.011648
0,5.05175,0,2.437,2,8192,0,0,0,0.011648
0,4.4597,0,2.47,2,8192,0,0,0,0.011648
0,4.54202,0,2.167,2,8192,0,0,0,0.011648
0,4.60859,0,3.678,2,8192,0,0,0,0.011648
0,5.06161,0,2.377,2,8192,0,0,0,0.011648
0,5.10799,0,1.917,2,8192,0,0,0,0.011648
0,5.18072,0,2.733,2,8192,0,0,0,0.011648
0,5.2058,0,2.363,2,8192,0,0,0,0.011648
0,5.02659,0,2.448,2,8192,0,0,0,0.011648
0,5.19136,0,1.959,2,8192,0,0,0,0.011648
0,5.93462,0,2.584,2,8192,0,0,0,0.011648
0,5.26314,0,2.717,2,8192,0,0,0,0.011648
0,5.25169,0,2.484,2,8192,0,0,0,0.011648
0,4.6458,0,2.514,2,8192,0,0,0,0.011648
0,5.35487,0,2.434,2,8192,0,0,0,0.011648
0,5.00722,0,2,2,8192,0,0,0,0.011648
0,6.05623,0,2.411,2,8192,0,0,0,0.011648
0,5.80521,0,1.986,2,8192,0,0,0,0.011648
0,5.17085,0,2.338,2,8192,0,0,0,0.011648
0,5.6835,0,2.644,2,8192,0,0,0,0.011648
0,5.58828,0,2.028,2,8192,0,0,0,0.011648
0,5.58955,0,2.211,2,8192,0,0,0,0.011648
0,5.0772,0,2.826,2,8192,0,0,0,0.011648
0,5.18021,0,2.143,2,8192,0,0,0,0.011648
0,5.62513,0,2.678,2,8192,0,0,0,0.011648
0,4.78469,0,2.001,2,8192,0,0,0,0.011648
0,5.93423,0,2.129,2,8192,0,0,0,0.011648
0,5.49149,0,2.243,2,8192,0,0,0,0.011648
0,5.94708,0,2.24,2,8192,0,0,0,0.011648
0,5.78567,0,2.056,2,8192,0,0,0,0.011648
0,5.48453,0,2.972,2,8192,0,0,0,0.011648
0,5.77622,0,2.263,2,8192,0,0,0,0.011648
0,5.30915,0,2.25,2,8192,0,0,0,0.011648
0,4.5755,0,2.255,2,8192,0,0,0,0.011648
0,4.21528,0,2.315,2,8192,0,0,0,0.011648
0,4.81906,0,4.012,2,8192,0,0,0,0.011648
0,4.29774,0,2.557,2,8192,0,0,0,0.011648
0,4.44576,0,2.681,2,8192,0,0,0,0.011648
0,4.81729,0,2.388,2,8192,0,0,0,0.011648
0,4.59849,0,2.46,2,8192,0,0,0,0.011648
0,3.69147,0,3.258,2,8192,0,0,0,0.011648
0,5.17999,0,2.168,2,8192,0,0,0,0.011648
0,4.44482,0,2.539,2,8192,0,0,0,0.011648
0,5.61098,0,2.405,2,8192,0,0,0,0.011648
0,5.18178,0,1.646,2,8192,0,0,0,0.011648
0,4.38636,0,2.877,2,8192,0,0,0,0.011648
0,5.34573,0,2.2,2,8192,0,0,0,0.011648
0,5.59853,0,1.703,2,8192,0,0,0,0.011648
0,5.3788,0,1.9,2,8192,0,0,0,0.011648
0,4.72585,0,2.698,2,8192,0,0,0,0.011648
0,4.89052,0,3.781,2,8192,0,0,0,0.011648
0,4.91465,0,1.969,2,8192,0,0,0,0.011648
0,6.03219,0,2.229,2,8192,0,0,0,0.011648
0,4.36669,0,4.341,2,8192,0,0,0,0.011648
0,4.26234,0,3.058,2,8192,0,0,0,0.011648
0,4.84431,0,2.979,2,8192,0,0,0,0.011648
0,4.68178,0,2.237,2,8192,0,0,0,0.011648
0,4.91242,0,2.267,2,8192,0,0,0,0.011648
0,4.49154,0,4.495,2,8192,0,0,0,0.011648
0,4.3892,0,3.094,2,8192,0,0,0,0.011648
0,4.23844,0,2.297,2,8192,0,0,0,0.011648
0,4.34318,0,3.28,2,8192,0,0,0,0.011648
0,4.55121,0,2.108,2,8192,0,0,0,0.011648
0,4.24846,0,4.927,2,8192,0,0,0,0.011648
0,4.79598,0,3.6,2,8192,0,0,0,0.011648
0,3.57091,0,2.538,2,8192,0,0,0,0.011648
0,4.98446,0,2.14,2,8192,0,0,0,0.011648
