,,,,,
,,,,,
Method,CUDPBlast,,,,
MSS,1500,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
13.3832,41.096,83333,0,70,8
13.2662,42.649,83333,0,70,24
13.2159,41.97,83333,0,72,15
13.3464,39.789,83333,0,76,6
13.4591,40.371,83333,0,74,4
19.0268,56.052,83333,0,68,15
15.5946,42.962,83333,0,69,24
13.3461,40.49,83333,0,70,4
13.4396,38.829,83333,0,80,9
13.3567,41.347,83333,0,77,3
13.4284,38.174,83333,0,71,16
13.057,39.049,83333,0,75,6
8.07766,38.414,83333,0,32,4
13.3853,39.981,83333,0,75,3
13.4017,37.511,83333,0,83,9
13.4657,40.937,83333,0,82,2
13.0157,40.157,83333,0,73,3
13.3558,39.398,83333,0,70,23
13.327,41.407,83333,0,74,26
12.3652,40.679,83333,0,74,4
13.2995,40.312,83333,0,70,32
13.0596,39.376,83333,0,73,4
13.2998,39.863,83333,0,72,17
12.6703,39.949,83333,0,74,16
12.9319,39.856,83333,0,78,15
13.2728,41.477,83333,0,78,13
13.2371,39.699,83333,0,73,16
13.3582,40.8,83333,0,77,9
13.2966,41.573,83333,0,72,13
12.6943,41.402,83333,0,59,17
13.4816,39.367,83333,0,75,10
13.3393,40.94,83333,0,70,11
13.2744,40.314,83333,0,77,22
13.2616,41.484,83333,0,79,13
13.3258,40.543,83333,0,79,10
13.2497,41.53,83333,0,73,13
13.2812,43.935,83333,0,74,4
13.3987,42.577,83333,0,82,5
12.4749,46.652,83333,0,71,10
13.2476,41.802,83333,0,61,30
12.7289,41.535,83333,0,58,14
13.3496,39.483,83333,0,76,13
13.2981,47.125,83333,0,66,13
13.4304,41.212,83333,0,65,17
13.0797,40.108,83333,0,74,7
13.4034,40.485,83333,0,71,19
13.2386,41.435,83333,0,81,14
11.7431,96.303,83333,0,61,1
13.3221,42.151,83333,0,78,5
9.75639,45.725,83333,0,39,3
11.5566,41.377,83333,0,69,7
13.5075,41.377,83333,0,73,18
12.8672,39.739,83333,0,79,1
15.7947,43.76,83333,0,69,7
16.341,100.263,83333,0,38,125
15.8944,87.949,83333,0,44,1
9.64237,41.69,83333,0,43,21
13.1604,39.764,83333,0,78,3
13.1654,42.509,83333,0,81,14
18.7561,71.573,83333,0,70,5
18.6664,55.237,83333,0,68,182
13.3238,47.335,83333,0,77,3
13.2774,56.893,83333,0,74,6
13.2877,56.979,83333,0,78,7
13.254,57.396,83333,0,81,41
18.879,74.235,83333,0,57,24
13.9622,40.864,83333,0,79,1
13.3436,40.086,83333,0,72,5
13.0838,40.91,83333,0,74,3
9.95749,44.187,83333,0,40,13
12.6844,44.634,83333,0,67,7
12.9626,42.895,83333,0,77,2
13.1321,42.605,83333,0,82,3
13.2804,58.838,83333,0,70,11
12.8071,40.928,83333,0,77,3
13.1965,39.184,83333,0,73,10
13.0099,39.867,83333,0,81,2
13.374,37.833,83333,0,69,9
13.3887,40.149,83333,0,76,1
13.0669,42.632,83333,0,78,17
13.4066,40.782,83333,0,79,1
13.1115,42.312,83333,0,78,7
12.8543,39.873,83333,0,74,2
13.3313,40.376,83333,0,74,5
12.5566,40.441,83333,0,69,13
11.5495,111.378,83333,0,45,5
13.096,41.075,83333,0,77,4
13.418,41.752,83333,0,82,17
13.3501,39.778,83333,0,77,2
12.8484,42.289,83333,0,75,17
13.3134,42.199,83333,0,77,1
13.235,52.65,83333,0,71,2
13.255,44.205,83333,0,72,3
13.2953,45.284,83333,0,67,14
11.4178,42.795,83333,0,69,31
12.8298,42.002,83333,0,79,11
13.1266,39.627,83333,0,77,25
12.6197,41.947,83333,0,66,10
13.3166,39.386,83333,0,74,3
13.0683,38.999,83333,0,79,12
13.3305,40.963,83333,0,67,5
13.3834,110.893,83333,0,69,11
13.3842,182.653,83333,0,77,7
9.21579,170.535,83333,0,55,3
12.7179,151.526,83333,0,60,7
11.5287,211.087,83333,0,69,1
10.4276,57.423,83333,0,62,8
13.4256,44.945,83333,0,67,7
13.4508,45.143,83333,0,74,4
12.6348,42.586,83333,0,69,14
13.313,39.315,83333,0,79,21
13.4362,39.693,83333,0,71,11
13.0695,114.385,83333,0,80,2
10.7931,181.461,83333,0,43,13
12.0994,137.942,83333,0,74,10
12.6988,42.798,83333,0,59,7
8.3775,42.871,83333,0,41,1
7.01925,42.539,83333,0,26,10
13.4203,40.502,83333,0,77,0
13.4515,43.37,83333,0,66,16
12.2281,41.905,83333,0,68,10
12.6993,72.813,83333,0,77,4
13.3148,45.059,83333,0,52,10
13.3866,47.878,83333,0,69,7
13.228,47.224,83333,0,70,6
12.8668,40.135,83333,0,75,14
13.3441,45.983,83333,0,70,3
13.3918,44.904,83333,0,76,1
13.118,41.322,83333,0,61,39
12.7407,80.121,83333,0,57,5
13.1262,40.156,83333,0,71,3
13.045,54.302,83333,0,70,4
13.332,46.599,83333,0,69,5
9.47905,47.874,83333,0,38,7
12.8418,40.811,83333,0,64,28
12.6341,166.424,83333,0,72,36
6.60006,183.829,83333,0,54,1
13.3849,62.379,83333,0,73,7
13.4444,95.125,83333,0,64,13
13.3917,193.984,83333,0,70,3
2.72224,227.578,83333,0,17,3
11.3496,128.843,83333,0,63,1
12.6649,84.432,83333,0,62,4
13.4638,48.819,83333,0,55,12
8.38935,80.662,83333,0,39,2
10.9827,92.712,83333,0,49,7
9.54525,103.459,83333,0,56,6
11.0723,241.52,83333,0,69,9
11.4357,80.345,83333,0,60,4
11.5539,146.036,83333,0,43,4
12.6591,250.215,83333,0,75,8
10.9424,115.436,83333,0,44,3
12.6622,131.649,83333,0,57,4
11.2019,183.075,83333,0,61,18
12.9509,86.741,83333,0,58,4
13.3681,50.27,83333,0,68,16
13.0011,60.995,83333,0,63,6
10.4903,41.373,83333,0,70,18
12.4018,45.027,83333,0,71,11
12.4222,44.379,83333,0,65,11
12.8206,49.519,83333,0,68,13
13.156,103.062,83333,0,71,17
8.72944,99.001,83333,0,54,4
13.4362,49.99,83333,0,75,15
12.8844,176.36,83333,0,78,11
6.7855,520.594,83333,0,80,1
8.46223,141.35,83333,0,58,1
10.1601,143.796,83333,0,61,2
10.2249,55.703,83333,0,53,5
13.2142,40.528,83333,0,80,2
13.1527,42.75,83333,0,77,9
13.2683,41.786,83333,0,71,13
13.2799,44.41,83333,0,74,2
13.2957,46.562,83333,0,75,1
12.5819,42.595,83333,0,67,9
13.2243,42.333,83333,0,78,17
13.3337,45.476,83333,0,77,11
13.4097,41.315,83333,0,73,3
13.4069,44.374,83333,0,71,12
13.3453,45.456,83333,0,69,14
12.2443,41.547,83333,0,82,1
11.3077,41.39,83333,0,47,11
12.2545,45.489,83333,0,68,2
13.388,41.667,83333,0,72,6
13.5157,39.609,83333,0,78,1
13.3419,40.764,83333,0,76,2
13.4936,39.813,83333,0,69,8
13.3816,39.253,83333,0,76,8
12.5245,42.44,83333,0,76,2
13.3507,40.235,83333,0,71,7
13.3912,45.006,83333,0,72,10
13.4215,44.144,83333,0,72,4
13.3677,39.471,83333,0,73,8
12.8868,48.309,83333,0,62,10
12.6966,158.272,83333,0,57,3
13.2882,93.057,83333,0,68,6
13.2908,41.553,83333,0,68,7
13.2899,42.261,83333,0,75,5
13.2749,40.319,83333,0,68,5
13.1992,42.175,83333,0,75,18
13.2607,64.248,83333,0,72,7
13.4262,40.798,83333,0,70,8
12.9759,45.156,83333,0,75,11
13.3696,44.753,83333,0,65,11
13.3239,42.012,83333,0,76,1
13.2611,42.97,83333,0,70,9
13.2559,40.679,83333,0,68,7
13.3245,43.984,83333,0,71,5
13.4253,42.936,83333,0,62,11
10.0217,41.122,83333,0,51,2
13.3991,40.173,83333,0,74,2
13.1056,54.076,83333,0,50,16
13.3855,41.182,83333,0,73,1
13.371,50.227,83333,0,77,14
13.4022,42.877,83333,0,68,28
6.23599,39.697,83333,0,19,15
12.8969,41.449,83333,0,74,5
13.3533,44.587,83333,0,73,3
13.4842,40.049,83333,0,71,16
12.7984,40.374,83333,0,74,4
13.2697,40.027,83333,0,74,3
8.10344,39.667,83333,0,25,12
13.1597,40.786,83333,0,80,5
12.9618,44.627,83333,0,82,21
13.2536,41.169,83333,0,64,27
13.2398,57.859,83333,0,70,17
14.6486,164.55,83333,0,61,7
14.0275,93.92,83333,0,51,9
12.1936,273.063,83333,0,60,7
5.68539,181.243,83333,0,10,1
9.10236,198.908,83333,0,40,5
17.4072,138.78,83333,0,51,4
15.2898,111.186,83333,0,45,23
15.4473,90.861,83333,0,44,8
6.44999,76.868,83333,0,23,8
14.5287,47.331,83333,0,54,76
13.0858,41.344,83333,0,71,10
3.03122,46.896,83333,0,21,1
0,46.896,83333,0,0,0
0,46.896,83333,0,0,0
0,46.896,83333,0,0,0
0,46.896,83333,0,0,0
0,46.896,83333,0,0,0
