SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
14.3661,785.016,83333,0,0,1
50.8858,760.109,83333,0,7,0
69.2437,744.081,83333,0,40,7
68.4656,697.62,83333,0,10,0
53.9855,688.207,83333,0,9,0
116.666,697.705,83333,0,19,13
35.5011,715.27,83333,0,3,0
84.0307,750.586,83333,0,35,7
15.8162,750.586,83333,0,0,5
101.011,721.023,83333,0,56,0
2.36308,721.023,83333,0,0,9
96.1519,770.41,83333,0,22,0
2.8633,770.41,83333,0,0,1
101.426,774.627,83333,0,40,0
16.6479,774.644,83333,0,20,10
98.3215,726.234,83333,0,38,0
3.9804,725.951,83333,0,20,10
42.0637,752.987,83333,0,5,2
60.4841,781.435,83333,0,55,1
2.95676,781.435,83333,0,0,17
102.163,759.946,83333,0,48,0
4.76654,759.92,83333,0,11,1
107.673,664.458,83333,0,51,0
9.15225,664.384,83333,0,9,12
99.1877,725.141,83333,0,38,0
4.63015,725.435,83333,0,11,9
64.2578,760.81,83333,0,11,0
41.7609,771.311,83333,0,37,1
87.5638,614.658,83333,0,16,0
25.0286,594.021,83333,0,31,7
38.8066,677.205,83333,0,5,1
71.0621,763.981,83333,0,35,7
17.3144,763.981,83333,0,0,8
98.6831,786.514,83333,0,19,0
33.3321,778.138,83333,0,2,9
92.6245,711.204,83333,0,9,0
88.523,683.763,83333,0,23,0
54.7948,682.476,83333,0,25,20
53.2796,705.664,83333,0,2,3
70.3522,779.351,83333,0,27,0
13.5355,779.351,83333,0,0,8
102.342,782.39,83333,0,47,0
8.8623,782.392,83333,0,10,5
98.2383,781.997,83333,0,22,0
6.66665,781.978,83333,0,27,2
99.2106,664.669,83333,0,16,0
15.4529,660.756,83333,0,5,2
0.91372,660.756,83333,0,0,1
106.197,609.713,83333,0,51,0
5.14426,609.713,83333,0,0,16
100.354,782.407,83333,0,30,0
6.80788,783.967,83333,0,5,2
69.1124,769.188,83333,0,20,0
33.8717,768.141,83333,0,23,0
27.142,768.527,83333,0,3,4
86.5005,769.305,83333,0,43,0
19.4828,745.902,83333,0,2,3
84.9398,692.437,83333,0,9,0
1.79196,692.437,83333,0,0,1
101.627,619.954,83333,0,40,0
96.4959,736.011,83333,0,28,6
72.2934,736.673,83333,0,2,20
102.108,745.686,83333,0,36,0
6.39915,745.73,83333,0,7,3
97.9855,765.545,83333,0,29,0
23.4412,765.959,83333,0,32,7
1.46439,765.959,83333,0,0,9
102.741,791.001,83333,0,55,0
6.72909,791.001,83333,0,0,4
83.5101,782.847,83333,0,30,0
26.2277,782.009,83333,0,26,4
11.6672,782.648,83333,0,2,4
95.0524,762.21,83333,0,55,0
9.43032,762.21,83333,0,0,4
100.299,748.851,83333,0,45,0
3.80543,741.63,83333,0,10,6
98.8323,755.105,83333,0,32,0
5.98613,755.285,83333,0,22,1
102.121,694.12,83333,0,35,0
9.56328,693.57,83333,0,23,3
100.954,740.562,83333,0,29,0
3.02524,740.562,83333,0,0,2
101.061,761.664,83333,0,38,0
18.1093,761.782,83333,0,16,11
99.1949,735.624,83333,0,28,0
5.81536,735.013,83333,0,24,1
98.3951,608.807,83333,0,17,0
101.249,622.871,83333,0,27,0
78.0921,623.251,83333,0,25,24
23.116,722.617,83333,0,18,5
20.5986,731.829,83333,0,2,2
82.3504,761.91,83333,0,59,0
6.29831,761.91,83333,0,0,9
81.276,782.596,83333,0,33,0
24.1138,782.84,83333,0,23,2
1.73507,782.84,83333,0,0,3
107.331,645.613,83333,0,65,0
11.4298,645.613,83333,0,0,9
91.6518,760.128,83333,0,38,0
19.2163,760.783,83333,0,18,5
35.6052,776.711,83333,0,9,0
64.1873,783.536,83333,0,43,0
3.89706,783.536,83333,0,0,3
103.825,742.703,83333,0,53,0
7.26716,741.759,83333,0,2,3
102.184,751.3,83333,0,24,0
10.9633,752.822,83333,0,26,2
103.195,739.903,83333,0,27,0
6.62027,739.903,83333,0,0,4
95.5644,747.865,83333,0,6,0
