

Method,CUDPBlast
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Recv Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
0,17.3399,5,51.783,83333,8192,0,0,0,0.011648
0,20.5894,2,29.483,83333,8192,0,0,0,0.011648
0,27.6895,2,30.886,83333,8192,0,0,0,0.011648
0,26.3013,3,40.693,83333,8192,0,0,0,0.011648
0,28.3308,1,49.152,83333,8192,0,0,0,0.011648
0,26.3889,1,34.582,83333,8192,0,0,0,0.011648
0,28.3098,3,37.818,83333,8192,0,0,0,0.011648
0,26.2039,3,33.698,83333,8192,0,0,0,0.011648
0,29.8595,1,22.863,83333,8192,0,0,0,0.011648
0,24.3449,3,32.019,83333,8192,0,0,0,0.011648
0,19.3516,5,27.082,83333,8192,0,0,0,0.011648
0,28.7728,1,27.58,83333,8192,0,0,0,0.011648
0,28.8498,3,30.491,83333,8192,0,0,0,0.011648
0,28.7845,2,28.109,83333,8192,0,0,0,0.011648
0,30.4531,1,31.423,83333,8192,0,0,0,0.011648
0,27.765,5,26.292,83333,8192,0,0,0,0.011648
0,28.7864,2,37.624,83333,8192,0,0,0,0.011648
0,28.9738,1,28.47,83333,8192,0,0,0,0.011648
0,31.2108,1,26.143,83333,8192,0,0,0,0.011648
0,32.3647,1,31.977,83333,8192,0,0,0,0.011648
0,31.9061,1,30.559,83333,8192,0,0,0,0.011648
0,29.4256,1,29.705,83333,8192,0,0,0,0.011648
0,29.9298,0,27.947,83333,8192,0,0,0,0.011648
0,28.9739,1,29.862,83333,8192,0,0,0,0.011648
0,25.9444,10,29.393,83333,8192,0,0,0,0.011648
0,22.7853,4,34.648,83333,8192,0,0,0,0.011648
0,23.3765,5,29.137,83333,8192,0,0,0,0.011648
0,26.9467,0,30.717,83333,8192,0,0,0,0.011648
0,25.1065,4,36.904,83333,8192,0,0,0,0.011648
0,19.4919,6,42.828,83333,8192,0,0,0,0.011648
0,23.0751,4,30.18,83333,8192,0,0,0,0.011648
0,21.8944,3,40.346,83333,8192,0,0,0,0.011648
0,21.8836,3,49.142,83333,8192,0,0,0,0.011648
0,19.6227,2,38.071,83333,8192,0,0,0,0.011648
0,23.0451,0,64.498,83333,8192,0,0,0,0.011648
0,24.7765,2,31.168,83333,8192,0,0,0,0.011648
0,23.3784,5,37.371,83333,8192,0,0,0,0.011648
0,20.8322,1,27.713,83333,8192,0,0,0,0.011648
0,26.4246,13,36.974,83333,8192,0,0,0,0.011648
0,25.0278,1,24.412,83333,8192,0,0,0,0.011648
0,21.3992,1,39.516,83333,8192,0,0,0,0.011648
0,29.7092,0,24.854,83333,8192,0,0,0,0.011648
0,25.9401,2,63.492,83333,8192,0,0,0,0.011648
0,24.055,3,53.212,83333,8192,0,0,0,0.011648
0,22.6039,2,30.875,83333,8192,0,0,0,0.011648
0,28.7973,1,21.176,83333,8192,0,0,0,0.011648
0,27.2022,0,31.31,83333,8192,0,0,0,0.011648
0,30.2914,0,35.165,83333,8192,0,0,0,0.011648
0,26.0769,0,35.233,83333,8192,0,0,0,0.011648
0,27.8212,2,43.256,83333,8192,0,0,0,0.011648
0,27.8098,1,32.726,83333,8192,0,0,0,0.011648
0,30.4634,4,31.499,83333,8192,0,0,0,0.011648
0,28.5071,1,46.985,83333,8192,0,0,0,0.011648
0,24.9295,1,28.436,83333,8192,0,0,0,0.011648
0,27.6207,2,30.608,83333,8192,0,0,0,0.011648
0,23.5999,4,43.217,83333,8192,0,0,0,0.011648
0,29.099,1,36.066,83333,8192,0,0,0,0.011648
0,26.6364,3,34.143,83333,8192,0,0,0,0.011648
0,26.6425,1,28.502,83333,8192,0,0,0,0.011648
0,24.2007,3,42.633,83333,8192,0,0,0,0.011648
0,27.1225,2,24.485,83333,8192,0,0,0,0.011648
0,26.6795,0,29.375,83333,8192,0,0,0,0.011648
0,28.0215,1,29.295,83333,8192,0,0,0,0.011648
0,30.2056,0,32.523,83333,8192,0,0,0,0.011648
0,27.2557,0,32.776,83333,8192,0,0,0,0.011648
0,27.4263,3,30.681,83333,8192,0,0,0,0.011648
0,29.4293,1,25.883,83333,8192,0,0,0,0.011648
0,29.6867,1,28.255,83333,8192,0,0,0,0.011648
0,30.1792,1,36.843,83333,8192,0,0,0,0.011648
0,27.8452,0,33.187,83333,8192,0,0,0,0.011648
0,25.8164,2,37.752,83333,8192,0,0,0,0.011648
0,27.3313,2,36.424,83333,8192,0,0,0,0.011648
0,25.4589,2,38.776,83333,8192,0,0,0,0.011648
0,26.9122,0,35.142,83333,8192,0,0,0,0.011648
0,29.9525,0,29.349,83333,8192,0,0,0,0.011648
0,21.5559,2,25.712,83333,8192,0,0,0,0.011648
0,26.5284,0,34.435,83333,8192,0,0,0,0.011648
0,20.7837,2,55.343,83333,8192,0,0,0,0.011648
0,25.664,1,34.524,83333,8192,0,0,0,0.011648
0,26.623,1,41.623,83333,8192,0,0,0,0.011648
0,22.5979,3,36.96,83333,8192,0,0,0,0.011648
0,27.8896,1,31.76,83333,8192,0,0,0,0.011648
0,28.7196,0,39.196,83333,8192,0,0,0,0.011648
0,29.9915,1,32.756,83333,8192,0,0,0,0.011648
0,22.2587,3,29.818,83333,8192,0,0,0,0.011648
0,28.0543,0,35.925,83333,8192,0,0,0,0.011648
0,23.8233,1,37.896,83333,8192,0,0,0,0.011648
0,26.5483,2,34.511,83333,8192,0,0,0,0.011648
0,23.3041,5,38.634,83333,8192,0,0,0,0.011648
0,29.1026,1,34.286,83333,8192,0,0,0,0.011648
0,29.2205,2,31.461,83333,8192,0,0,0,0.011648
0,32.615,0,24.355,83333,8192,0,0,0,0.011648
0,28.8409,3,41.381,83333,8192,0,0,0,0.011648
0,29.3271,0,22.228,83333,8192,0,0,0,0.011648
