Method,UDT,,,,
MSS,1500,,,,
SendRate(Mb/s),RTT(ms),CWnd,PktSndPeriod(us),RecvACK,RecvNAK
9.13316,52.873,37510,45.6449,66,3
11.5336,58.114,27328,45.9595,61,11
10.8877,52.575,30589,40.9276,73,18
10.8554,54.157,41794,54.6235,66,10
8.87136,56.729,46089,29.4933,68,2
6.19131,178.006,129575,24.0962,29,4
12.0349,169.567,91977,31.2871,78,18
10.3227,50.115,31849,54.2029,54,13
9.42711,50.332,33919,52.89,75,7
7.74166,48.123,40976,63.7235,73,4
10.3784,55.076,42826,35.8537,69,4
7.57545,48.285,30192,82.2768,59,19
6.83992,62.679,46605,71.2305,77,3
9.96024,94.098,51475,23,57,3
12.844,121.078,63260,26.5501,54,6
12.181,63.879,35086,56.3587,86,17
8.64312,49.493,30482,49.4484,76,12
15.0567,214.307,145530,16,74,2
10.1811,111.556,75832,29.6223,35,21
9.15003,101.477,49336,63.7566,48,24
6.92064,45.991,23978,55.9103,65,5
7.26233,46.352,29322,58.8384,70,9
8.19171,47.121,25277,58.0616,41,9
9.98598,60.771,44507,19.656,74,1
13.2715,216.061,128060,28.5713,74,14
8.59232,212.873,122952,29.3396,50,2
13.0031,71.111,45931,54,65,15
5.9547,45.072,40672,80.2279,70,12
7.54523,46.808,35279,27.1584,61,4
12.0922,62.354,39135,47.5059,61,12
6.2715,49.468,26673,54,65,19
8.24636,51.59,41396,69,61,9
5.02969,57.29,45268,83.1507,71,7
9.00654,55.426,40742,26.083,72,8
8.64285,50.07,31681,63.9032,56,10
9.43503,70.18,39730,25,70,3
12.9278,132.902,66108,52.3053,55,12
11.1217,78.303,41016,21.6331,74,3
10.9907,138.758,65469,35,36,7
9.92106,54.895,32819,59,68,12
8.0044,99.295,72705,68.4994,73,6
8.83372,49.059,35666,64.7185,69,7
10.1601,59.458,35594,32,64,3
2.33158,90.447,63861,35.4258,7,1
10.905,127.395,80182,44.4906,51,4
8.79251,139.675,66555,85,33,15
5.29716,64.036,37518,40,35,2
11.8602,96.36,67233,48.6422,57,7
9.23341,47.867,39142,52.7188,69,5
6.38549,52.312,40640,130.669,54,19
8.06034,62.798,46050,53,68,3
13.1794,114.339,72915,17.4161,73,0
8.88417,205.936,108369,13.6557,46,3
8.37064,158.011,100853,31,28,7
6.96235,127.186,66226,53.7809,27,26
9.75097,50.457,31516,52.7188,64,3
6.79654,50.323,27416,75.7516,59,7
5.64101,43.371,35178,53.1106,72,16
13.2299,98.929,67291,36.6971,62,5
11.0429,50.973,37550,47.3531,67,8
9.34733,50.677,43363,81,61,10
8.74901,53.566,48436,49,64,6
7.9994,45.917,44258,100,73,11
6.3252,50.949,28887,35.7768,70,16
15.1625,97.488,79850,29.2296,71,5
4.55261,109.816,81983,47.6003,14,14
9.02162,53.608,42542,59.7762,69,6
9.72835,76.813,60151,53,62,6
9.15284,78.592,63471,39,72,8
11.2723,138.084,75333,41.4264,64,3
7.56408,110.848,67175,80.9833,32,14
4.76606,44.517,38144,54.4378,58,6
9.5737,94.59,53698,59,51,16
4.24279,56.945,44608,49.9364,29,1
9.22432,172.881,103956,43,53,11
7.81378,60.336,36112,83.722,54,21
5.0509,53.123,38549,52.7094,64,5
8.004,62.468,54420,88,63,34
7.62492,54.704,42437,51.2012,66,3
7.75577,51.371,32435,34.1346,71,10
11.4236,140.994,104764,25.4053,50,2
12.0806,90.967,67787,77.0979,64,19
6.5676,59.397,42950,35.0314,70,5
10.5442,148.523,97266,36,45,16
9.90299,170.563,102941,47.3185,43,6
8.65007,127.881,107501,55.9701,52,7
8.27664,73.902,49726,40.7493,52,12
8.59532,81.889,64446,51,45,7
8.77702,51.35,37554,63.3912,67,4
7.06199,53.642,46621,76,60,6
5.33948,47.982,45906,112.05,64,8
11.4004,65.579,30517,25.2607,73,1
11.9972,117.798,80820,43.4267,43,5
10.0251,146.195,52262,53.7425,77,5
7.85056,51.317,25659,29.0657,77,14
8.70703,51.785,40192,125,58,27
5.15044,49.738,37855,59.2783,71,2
10.2704,55.949,53462,73.0155,56,14
6.65132,45.668,36174,49.6276,77,7
11.6268,76.897,47939,51.2012,60,8
7.69078,50.133,39871,69.8296,67,12
6.79162,54.402,49569,54.2258,71,8
8.66997,115.117,70578,31.8724,65,3
9.61073,427.772,226059,30.3804,75,2
8.42062,99.131,59769,51.7651,47,19
6.53675,48.29,38967,77.171,72,19
6.62827,45.392,45512,37,70,10
11.6518,47.383,34694,56,65,9
7.08901,45.07,31624,91,56,8
5.73944,50.977,29902,51,57,3
7.58312,51.288,41361,67,73,11
11.5346,112.322,72433,30.8613,66,1
11.8294,195.142,129652,24.2716,65,4
12.6964,54.636,28242,50.2059,72,22
8.17213,48.685,43116,62,71,13
5.52103,46.833,43781,100.918,65,11
9.68552,56.606,53183,22.2968,73,1
13.3408,48.21,36112,29.105,76,7
12.5363,50.164,37824,84,58,17
8.58089,54.981,46210,19.2123,67,7
12.7053,53.738,34264,41.737,64,16
10.5135,69.027,52082,54.1795,60,8
10.0732,61.302,55712,45,69,3
11.8964,57.074,34105,56.0416,66,6
8.58978,51.319,28981,29.5516,70,7
9.7922,57.197,32491,46.2786,48,23
9.68425,61.51,41453,50.8109,79,7
12.2603,79.507,37184,27.5613,71,1
9.95073,69.935,52763,62.2824,62,15
6.72304,49.611,40227,137.879,62,13
11.5351,127.925,82059,25.7985,78,5
9.33773,381.908,271684,32.2877,76,12
4.4541,322.123,245358,47,28,7
0.504672,250.724,152824,46.3463,4,0
9.81717,178.023,123784,41,61,3
9.02843,104.495,62514,38.6243,53,2
9.1783,52.834,36012,54.1516,74,20
7.4214,50.305,32903,57.776,73,16
6.32009,53.892,27846,109.182,58,11
11.0102,74.476,62832,24.7217,75,2
11.5292,183.99,101464,29.8654,58,6
11.8889,56.948,37987,53.7809,70,21
7.03263,46.107,26613,79.8217,73,14
12.2421,64.753,62476,23,76,1
3.13475,88.893,67607,38,6,5
10.323,50.148,36049,50.4267,61,8
11.2682,74.482,40013,38,65,7
8.74971,110.661,65939,71,46,12
6.01218,54.463,44201,40.0783,64,9
9.84357,104.13,59820,32,50,2
4.1241,298.63,196617,38,28,10
10.65,195.965,155298,40.8161,76,29
4.62816,486.948,333550,17,51,1
11.0575,414.015,249479,29.8924,74,6
4.9725,114.156,68218,55,39,13
7.81859,211.19,129587,51,39,10
6.92871,204.989,147712,49.0845,62,2
10.2736,209.97,124194,31,63,25
0.222081,203.475,120492,31,2,4
12.204,69.504,41647,51,52,5
5.74753,50.056,33684,77,42,5
9.90408,88.641,58102,26,62,2
9.2186,67.213,52256,58.2103,52,12
5.63417,43.282,32195,136.252,66,20
9.73587,51.945,37882,42,69,3
11.757,48.779,28115,36.1962,73,2
8.38857,45.359,29348,76.1733,62,9
8.60587,45.588,37676,52.4736,66,10
7.58273,46.554,45011,65.4255,57,5
7.50008,56.162,34504,76,65,15
5.57958,56.351,41359,94.8243,60,14
6.43672,46.95,30303,58.0182,61,7
6.07016,54.244,32432,109.341,53,18
8.89486,70.392,40761,23.6496,73,11
11.3894,135.08,91758,49,40,59
7.80194,55.433,38080,63.4859,55,5
5.25788,45.376,30541,76.9114,73,6
11.4321,95.838,68862,36.3425,67,5
12.4847,227.775,132317,56.0416,77,8
7.18558,52.202,32490,65,61,19
7.42015,49.74,26377,40.1856,68,3
11.3649,70.673,56255,44.2323,62,49
9.20695,52.987,41993,56.5167,70,14
9.13792,60.785,38760,23.8331,73,11
13.2823,54.307,38824,28.8323,64,6
10.2582,187.912,110529,60.7053,45,17
7.19711,55.739,44711,71.9015,60,7
5.43263,53.536,35499,95.2009,56,10
5.47933,48.997,33260,41.6243,58,4
11.2973,109.706,55931,45,45,9
6.47483,64.461,48921,105.719,50,10
7.21871,49.281,37287,68,67,8
6.99336,48.986,43674,66.4452,72,5
11.5562,90.695,63136,22.9208,58,4
10.7248,129.604,87922,26.3592,50,2
8.9889,97.506,65387,74.3056,42,23
8.84461,56.052,30944,53,68,7
6.23966,44.338,31909,85.7364,64,14
6.09116,55.393,52978,49.107,76,4
8.21363,46.403,34819,38.8349,64,8
8.51094,46.095,29520,90.185,63,13
9.05667,58.695,24368,35.7578,70,7
8.23764,44.432,38877,49.3419,68,9
5.50961,47.975,27449,126,70,24
7.58208,54.519,49251,27,72,5
9.35293,117.19,67954,50,28,14
6.26636,57.832,42247,75,51,7
8.7791,49.418,35821,51.4971,66,8
10.1383,51.509,35573,59.2252,69,15
6.79441,50.726,36425,54.5012,63,8
9.90333,49.517,31934,28.6173,69,4
13.6056,141.306,126312,23.8282,48,11
12.0198,161.098,128822,56,60,23
9.34878,50.654,31367,55.5821,69,3
9.2346,44.649,34177,61.4284,74,5
6.62994,45.74,39375,59.3534,65,5
8.87742,50.398,36143,30.3554,64,8
12.2592,49.739,38149,45.3994,62,21
14.2505,69.514,34907,30,61,3
8.10032,48.222,32095,53.3578,53,14
7.81469,44.356,29748,51.1023,62,9
10.1269,44.995,35583,49.1211,72,2
7.63151,50.656,23801,71,69,19
10.0313,56.301,33001,28,76,1
13.5282,132.977,79877,24.8666,55,1
12.385,243.625,132064,34,69,8
7.82142,67.221,35089,61,52,17
7.74196,48.311,32110,105,67,18
5.38717,44.068,26456,51.1619,76,2
13.2507,67.869,48084,33.3202,59,2
7.31494,253.947,167310,49.8557,68,9
7.69454,45.349,40957,59.0548,73,4
7.71454,45.88,35393,63.1894,69,7
9.01256,43.7,36683,70.2516,62,12
6.86643,49.226,37528,38.4686,73,9
10.4191,52.036,36077,44.6982,74,34
7.02455,54.56,33847,85.5727,56,24
11.6736,56.591,38360,29,76,8
6.69936,49,27226,56.9666,54,17
6.86786,43.038,21130,67.5935,65,7
7.3862,46.064,28929,70.854,68,8
7.04933,45.011,29538,53.7883,74,9
11.4713,51.418,40163,46.2786,76,26
7.21998,47.561,35914,57.8032,71,10
6.88482,47.467,35678,77,67,8
5.49788,46.63,37049,76.3079,67,6
9.54809,61.086,46628,27,69,2
9.96142,57.726,42772,52.8633,58,22
9.58189,52.792,52326,47,64,2
9.3586,46.446,35807,57.9657,72,7
6.11352,48.445,42675,83.4446,69,9
8.84037,83.09,43042,52.89,60,6
5.46572,44.569,31987,71.9592,77,9
7.19711,44.823,28744,49.1211,75,9
9.37631,49.211,36726,46.2979,79,5
4.06192,51.159,38385,52.927,34,7
0,51.159,38385,52.927,0,0
0,51.159,38385,52.927,0,0
0,51.159,38385,52.927,0,0
0,51.159,38385,52.927,0,0
0,51.159,38385,52.927,0,0
